company,ticker,mode,scope,fiscal_year,fuel_surcharge_revenue_musd,base_revenue_musd,fuel_surcharge_pct,rev_incl,rev_excl,method,source_file,quote,base_components
J.B. Hunt Transport Services,JBHT,Intermodal/Truck mix,consolidated,2013,1057.333,5584.571,18.93,1,0,stated_dollars,JBHT_2013-12-31.txt,"Fuel surcharge revenues 1,057,333 996,815 849,163 Total operating revenues 5,584,571",
J.B. Hunt Transport Services,JBHT,Intermodal/Truck mix,consolidated,2014,1082.614,6165.441,17.56,1,0,stated_dollars,JBHT_2014-12-31.txt,"Fuel surcharge revenues 1,082,614 1,057,333 996,815 Total operating revenues 6,165,441",
J.B. Hunt Transport Services,JBHT,Intermodal/Truck mix,consolidated,2015,671.364,6187.646,10.85,1,0,stated_dollars,JBHT_2015-12-31.txt,"Fuel surcharge revenues 671,364 1,082,614 1,057,333 Total operating revenues 6,187,646",
J.B. Hunt Transport Services,JBHT,Intermodal/Truck mix,consolidated,2016,548.112,6555.459,8.36,1,0,stated_dollars,JBHT_2016-12-31.txt,"Fuel surcharge revenues 548,112 671,364 1,082,614 Total operating revenues 6,555,459",
J.B. Hunt Transport Services,JBHT,Intermodal/Truck mix,consolidated,2017,753.71,7189.568,10.48,1,0,stated_dollars,JBHT_2017-12-31.txt,"Fuel surcharge revenue s 753,710 548,112 671,364 Total operating revenue s 7,189,568",
J.B. Hunt Transport Services,JBHT,Intermodal/Truck mix,consolidated,2018,1057.226,8614.874,12.27,1,0,stated_dollars,JBHT_2018-12-31.txt,"Fuel surcharge revenues 1,057,226 753,710 548,112 Total operating revenues 8,614,874",
J.B. Hunt Transport Services,JBHT,Intermodal/Truck mix,consolidated,2019,1042.658,9165.258,11.38,1,0,stated_dollars,JBHT_2019-12-31.txt,"Fuel surcharge revenues 1,042,658 1,057,226 753,710 Total operating revenues 9,165,258",
J.B. Hunt Transport Services,JBHT,Intermodal/Truck mix,consolidated,2020,756.92,9636.573,7.85,1,0,stated_dollars,JBHT_2020-12-31.txt,"Fuel surcharge revenues 756,920 1,042,658 1,057,226 Total operating revenues 9,636,573",
J.B. Hunt Transport Services,JBHT,Intermodal/Truck mix,consolidated,2021,1252.86,12168.302,10.3,1,0,stated_dollars,JBHT_2021-12-31.txt,"Fuel surcharge revenues 1,252,860 756,920 1,042,658 Total operating revenues 12,168,302",
J.B. Hunt Transport Services,JBHT,Intermodal/Truck mix,consolidated,2022,2432.64,14813.999,16.42,1,0,stated_dollars,JBHT_2022-12-31.txt,"Fuel surcharge revenues 2,432,640 1,252,860 756,920 Total operating revenues 14,813,999",
J.B. Hunt Transport Services,JBHT,Intermodal/Truck mix,consolidated,2023,1851.278,12829.665,14.43,1,0,stated_dollars,JBHT_2023-12-31.txt,"Fuel surcharge revenues 1,851,278 2,432,640 1,252,860 Total operating revenues 12,829,665",
J.B. Hunt Transport Services,JBHT,Intermodal/Truck mix,consolidated,2024,1529.495,12087.204,12.65,1,0,stated_dollars,JBHT_2024-12-31.txt,"Fuel surcharge revenues 1,529,495 1,851,278 2,432,640 Total operating revenues 12,087,204",
J.B. Hunt Transport Services,JBHT,Intermodal/Truck mix,consolidated,2025,1475.674,11999.096,12.3,1,0,stated_dollars,JBHT_2025-12-31.txt,"Fuel surcharge revenues 1,475,674 1,529,495 1,851,278 Total operating revenues 11,999,096",
Marten Transport,MRTN,Truckload,consolidated,1999,0.352,219.2,0.16,1,0,stated_dollars,MRTN_2001-12-31.txt,"$11.6 million in 2000 and $352,000 in 1999",
Marten Transport,MRTN,Truckload,consolidated,2000,11.6,260.797,4.45,1,0,stated_dollars,MRTN_2001-12-31.txt,"fuel surcharge revenue of $10.1 million in 2001, $11.6 million in 2000",
Marten Transport,MRTN,Truckload,consolidated,2001,10.1,282.764,3.57,1,0,stated_dollars,MRTN_2001-12-31.txt,fuel surcharge revenue of $10.1 million in 2001,
Marten Transport,MRTN,Truckload,consolidated,2002,5.5,293.096,1.88,1,0,stated_dollars,MRTN_2002-12-31.txt,fuel surcharge revenue of $5.5 million in 2002,
Marten Transport,MRTN,Truckload,consolidated,2003,14.1,334.667,4.21,1,0,stated_dollars,MRTN_2003-12-31.txt,"Fuel surcharge revenue was $14.1 million in the year ended December 31, 2003",
Marten Transport,MRTN,Truckload,consolidated,2004,26.9,380.048,7.08,1,0,stated_dollars,MRTN_2004-12-31.txt,net of fuel surcharge revenue of $26.9 million in 2004,
Marten Transport,MRTN,Truckload,consolidated,2005,57.127,460.202,12.41,1,0,stated_dollars,MRTN_2005-12-31.txt,"Fuel surcharge revenue 57,127 26,920",
Marten Transport,MRTN,Truckload,consolidated,2006,77.265,518.89,14.89,1,0,stated_dollars,MRTN_2006-12-31.txt,"Fuel surcharge revenue 77,265 57,198",
Marten Transport,MRTN,Truckload,consolidated,2007,87.1,560.017,15.55,1,0,derived_sum_of_segments,MRTN_2007-12-31.txt,"Truckload fuel surcharge revenue 83,786 75,323 57,127 Total Truckload revenue 490,540 477,650 443,258 Logistics revenue, net of intermodal fuel surcharge revenue(1) 66,163 39,298 16,873 Intermodal fuel surcharge revenue 3,314",
Marten Transport,MRTN,Truckload,consolidated,2008,132.6,607.099,21.84,1,0,stated_dollars,MRTN_2009-12-31.txt,fuel surcharge revenue decreasing to $55.7 million in 2009 from $132.6 million in 2008,
Marten Transport,MRTN,Truckload,consolidated,2009,55.7,505.874,11.01,1,0,stated_dollars,MRTN_2009-12-31.txt,fuel surcharge revenue decreasing to $55.7 million in 2009 from $132,
Marten Transport,MRTN,Truckload,consolidated,2010,75.9,516.92,14.68,1,0,stated_dollars,MRTN_2010-12-31.txt,Fuel surcharge revenue increased to $75.9 million in 2010 from $55,
Marten Transport,MRTN,Truckload,consolidated,2011,113.0,603.679,18.72,1,0,stated_dollars,MRTN_2011-12-31.txt,Fuel surcharge revenue increased to $113.0 million in 2011 from $75,
Marten Transport,MRTN,Truckload,consolidated,2012,121.1,638.456,18.97,1,0,stated_dollars,MRTN_2012-12-31.txt,Fuel surcharge revenue increased to $121.1 million in 2012 from $113,
Marten Transport,MRTN,Truckload,consolidated,2013,127.7,659.214,19.37,1,0,stated_dollars,MRTN_2013-12-31.txt,Fuel surcharge revenue increased to $127.7 million in 2013 from $121,
Marten Transport,MRTN,Truckload,operating revenue excluding brokerage,2014,125.2,615.717,20.33,1,0,stated_dollars,MRTN_2014-12-31.txt,Fuel surcharge revenue decreased to $125.2 million in 2014 from $127,672.929|57.212
Marten Transport,MRTN,Truckload,operating revenue excluding brokerage,2015,72.3,593.591,12.18,1,0,stated_dollars,MRTN_2015-12-31.txt,fuel surcharge revenue to $72.3 million from $125,664.994|71.403
Marten Transport,MRTN,Truckload,operating revenue excluding brokerage,2016,53.2,604.711,8.8,1,0,stated_dollars,MRTN_2016-12-31.txt,fuel surcharge revenue to $53.2 million from $72,671.144|66.433
Marten Transport,MRTN,Truckload,operating revenue excluding brokerage,2017,67.1,627.712,10.69,1,0,stated_dollars,MRTN_2017-12-31.txt,Fuel surcharge revenue increased to $67.1 million in 2017 from $53,698.120|70.408
Marten Transport,MRTN,Truckload,operating revenue excluding brokerage,2018,106.2,701.217,15.15,1,0,stated_dollars,MRTN_2018-12-31.txt,Fuel surcharge revenue increased to $106.2 million in 2018 from $67,787.594|86.377
Marten Transport,MRTN,Truckload,operating revenue excluding brokerage,2019,103.4,734.378,14.08,1,0,stated_dollars,MRTN_2019-12-31.txt,Fuel surcharge revenue decreased to $103.4 million in 2019 from $106,843.271|108.893
Marten Transport,MRTN,Truckload,operating revenue excluding brokerage,2020,83.8,777.665,10.78,1,0,stated_dollars,MRTN_2020-12-31.txt,Fuel surcharge revenue decreased to $83.8 million in 2020 from $103,874.374|96.709
Marten Transport,MRTN,Truckload,operating revenue excluding brokerage,2021,117.7,828.353,14.21,1,0,stated_dollars,MRTN_2021-12-31.txt,Fuel surcharge revenue increased to $117.7 million in 2021 from $83,973.644|145.291
Marten Transport,MRTN,Truckload,operating revenue excluding brokerage,2022,210.4,1059.319,19.86,1,0,stated_dollars,MRTN_2022-12-31.txt,Fuel surcharge revenue increased to $210.4 million in 2022 from $117,1263.878|204.559
Marten Transport,MRTN,Truckload,operating revenue excluding brokerage,2023,159.4,965.825,16.5,1,0,stated_dollars,MRTN_2023-12-31.txt,Fuel surcharge revenue decreased to $159.4 million in 2023 from $210,1131.455|165.630
Marten Transport,MRTN,Truckload,operating revenue excluding brokerage,2024,123.7,817.681,15.13,1,0,stated_dollars,MRTN_2024-12-31.txt,Fuel surcharge revenue decreased to $123.7 million in 2024 from $159,963.708|146.027
Marten Transport,MRTN,Truckload,operating revenue excluding brokerage,2025,104.7,733.826,14.27,1,0,stated_dollars,MRTN_2025-12-31.txt,Fuel surcharge revenue decreased to $104.7 million in 2025 from $123,883.652|149.826
