mode,company,ticker,fiscal_year,fuel_surcharge_revenue_musd,base_revenue_musd,fuel_surcharge_pct_of_revenue,scope,method,source_filing,quote
Intermodal/truck mix,J.B. Hunt Transport Services,JBHT,2013,1057.333,5584.571,18.93,consolidated,stated_dollars,"JBHT 10-K, period ending 2013-12-31","Fuel surcharge revenues 1,057,333 996,815 849,163 Total operating revenues 5,584,571"
Intermodal/truck mix,J.B. Hunt Transport Services,JBHT,2014,1082.614,6165.441,17.56,consolidated,stated_dollars,"JBHT 10-K, period ending 2014-12-31","Fuel surcharge revenues 1,082,614 1,057,333 996,815 Total operating revenues 6,165,441"
Intermodal/truck mix,J.B. Hunt Transport Services,JBHT,2015,671.364,6187.646,10.85,consolidated,stated_dollars,"JBHT 10-K, period ending 2015-12-31","Fuel surcharge revenues 671,364 1,082,614 1,057,333 Total operating revenues 6,187,646"
Intermodal/truck mix,J.B. Hunt Transport Services,JBHT,2016,548.112,6555.459,8.36,consolidated,stated_dollars,"JBHT 10-K, period ending 2016-12-31","Fuel surcharge revenues 548,112 671,364 1,082,614 Total operating revenues 6,555,459"
Intermodal/truck mix,J.B. Hunt Transport Services,JBHT,2017,753.71,7189.568,10.48,consolidated,stated_dollars,"JBHT 10-K, period ending 2017-12-31","Fuel surcharge revenue s 753,710 548,112 671,364 Total operating revenue s 7,189,568"
Intermodal/truck mix,J.B. Hunt Transport Services,JBHT,2018,1057.226,8614.874,12.27,consolidated,stated_dollars,"JBHT 10-K, period ending 2018-12-31","Fuel surcharge revenues 1,057,226 753,710 548,112 Total operating revenues 8,614,874"
Intermodal/truck mix,J.B. Hunt Transport Services,JBHT,2019,1042.658,9165.258,11.38,consolidated,stated_dollars,"JBHT 10-K, period ending 2019-12-31","Fuel surcharge revenues 1,042,658 1,057,226 753,710 Total operating revenues 9,165,258"
Intermodal/truck mix,J.B. Hunt Transport Services,JBHT,2020,756.92,9636.573,7.85,consolidated,stated_dollars,"JBHT 10-K, period ending 2020-12-31","Fuel surcharge revenues 756,920 1,042,658 1,057,226 Total operating revenues 9,636,573"
Intermodal/truck mix,J.B. Hunt Transport Services,JBHT,2021,1252.86,12168.302,10.3,consolidated,stated_dollars,"JBHT 10-K, period ending 2021-12-31","Fuel surcharge revenues 1,252,860 756,920 1,042,658 Total operating revenues 12,168,302"
Intermodal/truck mix,J.B. Hunt Transport Services,JBHT,2022,2432.64,14813.999,16.42,consolidated,stated_dollars,"JBHT 10-K, period ending 2022-12-31","Fuel surcharge revenues 2,432,640 1,252,860 756,920 Total operating revenues 14,813,999"
Intermodal/truck mix,J.B. Hunt Transport Services,JBHT,2023,1851.278,12829.665,14.43,consolidated,stated_dollars,"JBHT 10-K, period ending 2023-12-31","Fuel surcharge revenues 1,851,278 2,432,640 1,252,860 Total operating revenues 12,829,665"
Intermodal/truck mix,J.B. Hunt Transport Services,JBHT,2024,1529.495,12087.204,12.65,consolidated,stated_dollars,"JBHT 10-K, period ending 2024-12-31","Fuel surcharge revenues 1,529,495 1,851,278 2,432,640 Total operating revenues 12,087,204"
Intermodal/truck mix,J.B. Hunt Transport Services,JBHT,2025,1475.674,11999.096,12.3,consolidated,stated_dollars,"JBHT 10-K, period ending 2025-12-31","Fuel surcharge revenues 1,475,674 1,529,495 1,851,278 Total operating revenues 11,999,096"
LTL,Old Dominion Freight Line,ODFL,2002,,,3.1,Total company revenue,stated_pct,"ODFL 10-K, period ending 2003-12-31",the fuel surcharge increased to 4.4% of revenue from 3.1% in 2002
LTL,Old Dominion Freight Line,ODFL,2003,,,4.4,Total company revenue,stated_pct,"ODFL 10-K, period ending 2003-12-31",the fuel surcharge increased to 4.4% of revenue from 3.1% in 2002
LTL,Old Dominion Freight Line,ODFL,2004,,,6.3,Total company revenue,stated_pct,"ODFL 10-K, period ending 2004-12-31",the fuel surcharge increased to 6.3% of revenue from 4.4% in 2003
LTL,Old Dominion Freight Line,ODFL,2005,,,10.3,Total company revenue,stated_pct,"ODFL 10-K, period ending 2005-12-31",the fuel surcharge increased to 10.3% of revenue from 6.3% in 2004
LTL,Old Dominion Freight Line,ODFL,2006,,,11.9,Total company revenue,stated_pct,"ODFL 10-K, period ending 2006-12-31",the fuel surcharge increased to 11.9% of revenue from 10.3% in 2005
LTL,Old Dominion Freight Line,ODFL,2007,,,12.4,Total company revenue,stated_pct,"ODFL 10-K, period ending 2007-12-31",Fuel surcharge revenue increased to 12.4% of revenue from 11.9% in 2006
LTL,Old Dominion Freight Line,ODFL,2008,,,17.2,Total company revenue,stated_pct,"ODFL 10-K, period ending 2008-12-31",Fuel surcharge revenue increased to 17.2% of revenue from 12.4% in 2007
LTL,Old Dominion Freight Line,ODFL,2009,,,9.6,Total company revenue,stated_pct,"ODFL 10-K, period ending 2009-12-31",Fuel surcharge revenue decreased to 9.6% of revenue from 17.2% of revenue in 2008
LTL,Old Dominion Freight Line,ODFL,2010,,,12.3,Total company revenue,stated_pct,"ODFL 10-K, period ending 2010-12-31",Fuel surcharge revenue increased to 12.3% of revenue from 9.6% in 2009
LTL,Old Dominion Freight Line,ODFL,2011,,,16.4,Total company revenue,stated_pct,"ODFL 10-K, period ending 2011-12-31",Fuel surcharge revenue increased to 16.4% of revenue from 12.3% in 2010
LTL,Old Dominion Freight Line,ODFL,2012,,,16.7,Total company revenue,stated_pct,"ODFL 10-K, period ending 2012-12-31",Fuel surcharge revenue increased to 16.7% of revenue in 2012 from 16.4% in 2011
LTL,Old Dominion Freight Line,ODFL,2013,,,16.1,Total company revenue,stated_pct,"ODFL 10-K, period ending 2013-12-31",Fuel surcharge revenue decreased to 16.1% of revenue in 2013 from 16.5% in 2012
LTL,Old Dominion Freight Line,ODFL,2014,,,15.5,Total company revenue,stated_pct,"ODFL 10-K, period ending 2014-12-31",Fuel surcharge revenue decreased to 15.5% of revenue in 2014 from 16.1% in 2013
LTL,Old Dominion Freight Line,ODFL,2015,,,10.4,Total company revenue,stated_pct,"ODFL 10-K, period ending 2015-12-31",Fuel surcharge revenue decreased to 10.4% of revenue in 2015 from 15.5% in 2014
LTL,Old Dominion Freight Line,ODFL,2016,,,9.5,Total company revenue,stated_pct,"ODFL 10-K, period ending 2016-12-31",Fuel surcharge revenue decreased to 9.5% of revenue in 2016 from 10.4% in 2015
LTL,Old Dominion Freight Line,ODFL,2017,,,11.1,Total company revenue,stated_pct,"ODFL 10-K, period ending 2017-12-31",fuel surcharges increased to 11.1% in 2017 from 9.5% in 2016
LTL,Old Dominion Freight Line,ODFL,2018,,,13.3,Total company revenue,stated_pct,"ODFL 10-K, period ending 2018-12-31",fuel surcharges increased to 13.3% in 2018 from 11.1% in 2017
LTL,Old Dominion Freight Line,ODFL,2019,,,12.7,Total company revenue,stated_pct,"ODFL 10-K, period ending 2019-12-31",fuel surcharges decreased to 12.7% in 2019 as compared to 13.3% in 2018
LTL,Old Dominion Freight Line,ODFL,2020,,,10.5,Total company revenue,stated_pct,"ODFL 10-K, period ending 2020-12-31",fuel surcharges decreased to 10.5% in 2020 as compared to 12.7% in 2019
LTL,Saia (SCS Transportation pre-2006),SAIA,2002,9.5,489.8,1.94,Saia LTL subsidiary segment (excl. Jevic); FSC = operating revenue minus operating revenue excluding fuel surcharge,derived_subtraction,"SAIA 10-K, period ending 2003-12-31","revenue of $489.8 million in 2002, an increase of 0.9 percent over 2001 operating revenue of $485.4 million. Saia’s operating revenue excluding fuel surcharge was $480.3 million in 2002"
LTL,Saia (SCS Transportation pre-2006),SAIA,2003,18.4,520.7,3.53,Saia LTL subsidiary segment (excl. Jevic); FSC = operating revenue minus operating revenue excluding fuel surcharge,derived_subtraction,"SAIA 10-K, period ending 2003-12-31","revenue of $520.7 million in 2003, an increase of 6.3 percent over 2002 operating revenue of $489.8 million. Saia’s operating revenue excluding fuel surcharge was $502.3 million in 2003"
LTL,Saia (SCS Transportation pre-2006),SAIA,2004,37.6,645.4,5.83,Saia LTL subsidiary segment (excl. Jevic); FSC = operating revenue minus operating revenue excluding fuel surcharge,derived_subtraction,"SAIA 10-K, period ending 2004-12-31","revenue of $645.4 million in 2004, an increase of 24.0 percent over 2003 operating revenue of $520.7 million. Saia’s operating revenue excluding fuel surcharge was $607.8 million in 2004"
LTL,Saia (SCS Transportation pre-2006),SAIA,2005,74.1,754.0,9.83,Saia LTL subsidiary segment (excl. Jevic); FSC = operating revenue minus operating revenue excluding fuel surcharge,derived_subtraction,"SAIA 10-K, period ending 2005-12-31","revenue of $754.0 million in 2005, an increase of 16.8 percent over 2004 operating revenue of $645.4 million. Saia’s operating revenue excluding fuel surcharge was $679.9 million in 2005"
LTL,Saia (SCS Transportation pre-2006),SAIA,2006,,,11.9,Saia Inc. consolidated operating revenue (continuing ops),stated_pct,"SAIA 10-K, period ending 2006-12-31","Fuel surcharge revenue, which was 11.9 percent of total revenue in 2006"
LTL,Saia (SCS Transportation pre-2006),SAIA,2010,,,12.4,Saia Inc. consolidated operating revenue (continuing ops),stated_pct,"SAIA 10-K, period ending 2012-12-31","Fuel surcharge revenue increased to 16.7% of operating revenue for the year ended December 31, 2011 compared to 12.4% for the year ended December 31, 2010"
LTL,Saia (SCS Transportation pre-2006),SAIA,2011,,,16.7,Saia Inc. consolidated operating revenue (continuing ops),stated_pct,"SAIA 10-K, period ending 2012-12-31","Fuel surcharge revenue increased to 16.7% of operating revenue for the year ended December 31, 2011"
LTL,Saia (SCS Transportation pre-2006),SAIA,2012,,,17.3,Saia Inc. consolidated operating revenue (continuing ops),stated_pct,"SAIA 10-K, period ending 2012-12-31","Fuel surcharge revenue increased to 17.3% of operating revenue for the year ended December 31, 2012"
LTL,Saia (SCS Transportation pre-2006),SAIA,2013,,,16.8,Saia Inc. consolidated operating revenue (continuing ops),stated_pct,"SAIA 10-K, period ending 2013-12-31","Fuel surcharge revenue decreased to 16.8% of operating revenue for the year ended December 31, 2013"
LTL,Saia (SCS Transportation pre-2006),SAIA,2014,,,16.6,Saia Inc. consolidated operating revenue (continuing ops),stated_pct,"SAIA 10-K, period ending 2014-12-31","Fuel surcharge revenue decreased to 16.6% of operating revenue for the year ended December 31, 2014"
LTL,Saia (SCS Transportation pre-2006),SAIA,2015,,,11.7,Saia Inc. consolidated operating revenue (continuing ops),stated_pct,"SAIA 10-K, period ending 2015-12-31","Fuel surcharge revenue decreased to 11.7 % of operating revenue for the year ended December 31, 2015"
LTL,Saia (SCS Transportation pre-2006),SAIA,2016,,,9.7,Saia Inc. consolidated operating revenue (continuing ops),stated_pct,"SAIA 10-K, period ending 2016-12-31","Fuel surcharge revenue decreased to 9.7 % of operating revenue for the year ended December 31, 2016"
LTL,Saia (SCS Transportation pre-2006),SAIA,2017,,,11.5,Saia Inc. consolidated operating revenue (continuing ops),stated_pct,"SAIA 10-K, period ending 2017-12-31","Fuel surcharge reve nue increased to 11.5 percent of operating revenue for the year ended December 31, 2017"
LTL,Saia (SCS Transportation pre-2006),SAIA,2018,,,13.6,Saia Inc. consolidated operating revenue (continuing ops),stated_pct,"SAIA 10-K, period ending 2018-12-31","Fuel surcharge revenue increased to 13.6 percent of operating revenue for the year ended December 31, 2018"
LTL,Saia (SCS Transportation pre-2006),SAIA,2019,,,13.0,Saia Inc. consolidated operating revenue (continuing ops),stated_pct,"SAIA 10-K, period ending 2019-12-31","Fuel surcharge revenue decrease d to 13.0 percent of operating revenue for the year ended December 31, 2019"
LTL,Saia (SCS Transportation pre-2006),SAIA,2020,,,11.1,Saia Inc. consolidated operating revenue (continuing ops),stated_pct,"SAIA 10-K, period ending 2020-12-31","Fuel surcharge revenue decrease d to 11.1 percent of operating revenue for the year ended December 31, 2020"
LTL,Saia (SCS Transportation pre-2006),SAIA,2021,,,14.0,Saia Inc. consolidated operating revenue (continuing ops),stated_pct,"SAIA 10-K, period ending 2021-12-31","Fuel surcharge revenue increase d to 14.0 percent of operating revenue for the year ended December 31, 2021"
LTL,Saia (SCS Transportation pre-2006),SAIA,2022,,,19.9,Saia Inc. consolidated operating revenue (continuing ops),stated_pct,"SAIA 10-K, period ending 2022-12-31",Fuel surcharge revenue increased to 19.9 percent of operating revenue in 2022
LTL,Saia (SCS Transportation pre-2006),SAIA,2023,,,16.9,Saia Inc. consolidated operating revenue (continuing ops),stated_pct,"SAIA 10-K, period ending 2023-12-31",Fuel surcharge revenue decreased to 16.9 percent of operating revenue in 2023
LTL,Saia (SCS Transportation pre-2006),SAIA,2024,,,15.0,Saia Inc. consolidated operating revenue (continuing ops),stated_pct,"SAIA 10-K, period ending 2024-12-31",Fuel surcharge revenue decreased to 15.0 percent of operating revenue in 2024
LTL,Saia (SCS Transportation pre-2006),SAIA,2025,,,15.0,Saia Inc. consolidated operating revenue (continuing ops),stated_pct,"SAIA 10-K, period ending 2025-12-31",Fuel surcharge revenue remained flat at 15.0 percent of operating revenue in 2025
LTL,XPO,XPO,2019,532.0,3791.0,14.03,North American LTL segment,stated_dollars,"XPO 10-K, period ending 2021-12-31","fuel surcharge revenue of $433 million and $532 million, respectively, for the years ended December 31, 2020 and 2019"
LTL,XPO,XPO,2020,433.0,3539.0,12.24,North American LTL segment,stated_dollars,"XPO 10-K, period ending 2021-12-31","fuel surcharge revenue of $632 million and $433 million, respectively, for the years ended December 31, 2021 and 2020"
LTL,XPO,XPO,2021,632.0,4118.0,15.35,North American LTL segment,stated_dollars,"XPO 10-K, period ending 2021-12-31","fuel surcharge revenue of $632 million and $433 million, respectively, for the years ended December 31, 2021 and 2020"
LTL,XPO,XPO,2022,1000.0,4645.0,21.53,North American LTL segment,stated_dollars,"XPO 10-K, period ending 2022-12-31","fuel surcharge revenue of $1.0 billion and $632 million, respectively, for the years ended December 31, 2022 and 2021"
LTL,XPO,XPO,2023,857.0,4671.0,18.35,North American LTL segment,stated_dollars,"XPO 10-K, period ending 2023-12-31","fuel surcharge revenue of $857 million and $1.0 billion, respectively, for the years ended December 31, 2023 and 2022"
LTL,XPO,XPO,2024,785.0,4899.0,16.02,North American LTL segment,stated_dollars,"XPO 10-K, period ending 2024-12-31","fuel surcharge revenue of $785 million and $857 million, respectively, for the years ended December 31, 2024 and 2023"
LTL,XPO,XPO,2025,731.0,4832.0,15.13,North American LTL segment,stated_dollars,"XPO 10-K, period ending 2025-12-31","fuel surcharge revenue of $731 million and $785 million, respectively, for the years ended December 31, 2025 and 2024"
Rail,Norfolk Southern,NSC,2006,1000.0,9407.0,10.63,NSC railway operating revenues (total),stated_dollars,"NSC 10-K, period ending 2008-12-31",Fuel surcharge revenue amounted to $1.6 billion in 2008 (up $830 million) compared to $792 million in 2007 and $1 billion in 2006
Rail,Norfolk Southern,NSC,2007,792.0,9432.0,8.4,NSC railway operating revenues (total),stated_dollars,"NSC 10-K, period ending 2008-12-31",Fuel surcharge revenue amounted to $1.6 billion in 2008 (up $830 million) compared to $792 million in 2007 and $1 billion in 2006
Rail,Norfolk Southern,NSC,2008,1600.0,10661.0,15.01,NSC railway operating revenues (total),stated_dollars,"NSC 10-K, period ending 2008-12-31",Fuel surcharge revenue amounted to $1.6 billion in 2008 (up $830 million) compared to $792 million in 2007 and $1 billion in 2006
Rail,Norfolk Southern,NSC,2009,370.0,7969.0,4.64,NSC railway operating revenues (total),stated_dollars,"NSC 10-K, period ending 2009-12-31",Fuel surcharge revenue amounted to $370 million in 2009
Rail,Norfolk Southern,NSC,2010,724.0,9516.0,7.61,NSC railway operating revenues (total),stated_dollars,"NSC 10-K, period ending 2010-12-31",Fuel surcharge revenue amounted to $724 million in 2010
Rail,Norfolk Southern,NSC,2011,1300.0,11172.0,11.64,NSC railway operating revenues (total),stated_dollars,"NSC 10-K, period ending 2011-12-31",Fuel surcharge revenue amounted to $1.3 billion in 2011
Rail,Norfolk Southern,NSC,2012,1300.0,11040.0,11.78,NSC railway operating revenues (total),stated_dollars,"NSC 10-K, period ending 2012-12-31",and totaled $1.3 billion in both years
Rail,Norfolk Southern,NSC,2013,1254.0,11245.0,11.15,NSC railway operating revenues (total),stated_dollars,"NSC 10-K, period ending 2013-12-31","Fuel surcharge revenue totaled $ 1,254 million in 2013"
Rail,Norfolk Southern,NSC,2014,1329.0,11624.0,11.43,NSC railway operating revenues (total),stated_dollars,"NSC 10-K, period ending 2014-12-31","revenues in 2014 included $1,329 million of such surcharges"
Rail,Norfolk Southern,NSC,2015,477.0,10511.0,4.54,NSC railway operating revenues (total),stated_dollars,"NSC 10-K, period ending 2016-12-31","Revenues associated with fuel surcharges totaled $236 million, $477 million, and $1,329 million in 2016, 2015, and 2014"
Rail,Norfolk Southern,NSC,2016,236.0,9888.0,2.39,NSC railway operating revenues (total),stated_dollars,"NSC 10-K, period ending 2016-12-31","Revenues associated with fuel surcharges totaled $236 million, $477 million, and $1,329 million in 2016, 2015, and 2014"
Rail,Norfolk Southern,NSC,2017,359.0,10551.0,3.4,NSC railway operating revenues (total),stated_dollars,"NSC 10-K, period ending 2017-12-31","Revenues associated with fuel surcharges totaled $359 million, $236 million, and $477 million in 2017, 2016, and 2015"
Rail,Norfolk Southern,NSC,2018,657.0,11458.0,5.73,NSC railway operating revenues (total),stated_dollars,"NSC 10-K, period ending 2018-12-31","Revenues associated with fuel surcharges totaled $657 million, $359 million, and $236 million in 2018, 2017, and 2016"
Rail,Norfolk Southern,NSC,2020,349.0,9789.0,3.57,NSC railway operating revenues (total),stated_dollars,"NSC 10-K, period ending 2022-12-31","Fuel surcharge revenues totaled $1.6 billion, $622 million, and $349 million in 2022, 2021, and 2020"
Rail,Norfolk Southern,NSC,2021,622.0,11142.0,5.58,NSC railway operating revenues (total),stated_dollars,"NSC 10-K, period ending 2022-12-31","Fuel surcharge revenues totaled $1.6 billion, $622 million, and $349 million in 2022, 2021, and 2020"
Rail,Norfolk Southern,NSC,2022,1600.0,12745.0,12.55,NSC railway operating revenues (total),stated_dollars,"NSC 10-K, period ending 2022-12-31","Fuel surcharge revenues totaled $1.6 billion, $622 million, and $349 million in 2022, 2021, and 2020"
Rail,Norfolk Southern,NSC,2023,1200.0,12156.0,9.87,NSC railway operating revenues (total),stated_dollars,"NSC 10-K, period ending 2023-12-31","Fuel surcharge revenues totaled $1.2 billion, $1.6 billion, and $622 million in 2023, 2022, and 2021"
Rail,Norfolk Southern,NSC,2024,962.0,12123.0,7.94,NSC railway operating revenues (total),stated_dollars,"NSC 10-K, period ending 2024-12-31","Fuel surcharge revenues totaled $962 million, $1.2 billion, and $1.6 billion in 2024, 2023, and 2022"
Rail,Norfolk Southern,NSC,2025,828.0,12180.0,6.8,NSC railway operating revenues (total),stated_dollars,"NSC 10-K, period ending 2025-12-31","Fuel surcharge revenues totaled $828 million, $962 million, and $1.2 billion in 2025, 2024, and 2023"
Rail,Union Pacific,UNP,2002,7.0,10663.0,0.07,"UNP freight revenues (""commodity revenue"" through 2007 10-K), excl. other revenues",stated_dollars,"UNP 10-K, period ending 2006-12-31","Includes fuel surcharge revenue of $1,619 million, $963 million, $292 million, $93 million, and $7 million for 2006, 2005, 2004, 2003, and 2002, respectively"
Rail,Union Pacific,UNP,2003,93.0,11041.0,0.84,"UNP freight revenues (""commodity revenue"" through 2007 10-K), excl. other revenues",stated_dollars,"UNP 10-K, period ending 2006-12-31","Includes fuel surcharge revenue of $1,619 million, $963 million, $292 million, $93 million, and $7 million for 2006, 2005, 2004, 2003, and 2002, respectively"
Rail,Union Pacific,UNP,2004,292.0,11692.0,2.5,"UNP freight revenues (""commodity revenue"" through 2007 10-K), excl. other revenues",stated_dollars,"UNP 10-K, period ending 2006-12-31","Includes fuel surcharge revenue of $1,619 million, $963 million, $292 million, $93 million, and $7 million for 2006, 2005, 2004, 2003, and 2002, respectively"
Rail,Union Pacific,UNP,2005,1000.0,12957.0,7.72,"UNP freight revenues (""commodity revenue"" through 2007 10-K), excl. other revenues",stated_dollars,"UNP 10-K, period ending 2005-12-31","In 2005, our fuel surcharge programs generated $1 billion in commodity revenue"
Rail,Union Pacific,UNP,2006,1619.0,14862.0,10.89,"UNP freight revenues (""commodity revenue"" through 2007 10-K), excl. other revenues",stated_dollars,"UNP 10-K, period ending 2006-12-31","Includes fuel surcharge revenue of $1,619 million, $963 million, $292 million, $93 million, and $7 million for 2006, 2005, 2004, 2003, and 2002, respectively"
Rail,Union Pacific,UNP,2007,1478.0,15516.0,9.53,"UNP freight revenues (""commodity revenue"" through 2007 10-K), excl. other revenues",stated_dollars,"UNP 10-K, period ending 2007-12-31","Includes fuel surcharge revenue of $1,478 million, $1,619 million"
Rail,Union Pacific,UNP,2008,2323.0,17118.0,13.57,"UNP freight revenues (""commodity revenue"" through 2007 10-K), excl. other revenues",stated_dollars,"UNP 10-K, period ending 2008-12-31","Includes fuel surcharge revenue of $2,323 million, $1,478 million"
Rail,Union Pacific,UNP,2009,605.0,13373.0,4.52,"UNP freight revenues (""commodity revenue"" through 2007 10-K), excl. other revenues",stated_dollars,"UNP 10-K, period ending 2009-12-31","Includes fuel surcharge revenue of $605 million, $2,323 million"
Rail,Union Pacific,UNP,2010,1237.0,16069.0,7.7,"UNP freight revenues (""commodity revenue"" through 2007 10-K), excl. other revenues",stated_dollars,"UNP 10-K, period ending 2010-12-31","Includes fuel surcharge revenue of $1,237 million, $605 million"
Rail,Union Pacific,UNP,2011,2243.0,18508.0,12.12,"UNP freight revenues (""commodity revenue"" through 2007 10-K), excl. other revenues",stated_dollars,"UNP 10-K, period ending 2011-12-31","Includes fuel surcharge revenue of $2,243 million, $1,237 million"
Rail,Union Pacific,UNP,2012,2600.0,19686.0,13.21,"UNP freight revenues (""commodity revenue"" through 2007 10-K), excl. other revenues",stated_dollars,"UNP 10-K, period ending 2012-12-31",Our fuel surcharge programs (excluding index-based contract escalators that contain some provision for fuel) generated freight revenues of $2.6 billion
Rail,Union Pacific,UNP,2013,2600.0,20684.0,12.57,"UNP freight revenues (""commodity revenue"" through 2007 10-K), excl. other revenues",stated_dollars,"UNP 10-K, period ending 2013-12-31","Our fuel surcharge programs generated freight revenues of $2.6 billion, $2.6 billion, and $2.2 billion in 2013, 2012, and 2011"
Rail,Union Pacific,UNP,2014,2800.0,22560.0,12.41,"UNP freight revenues (""commodity revenue"" through 2007 10-K), excl. other revenues",stated_dollars,"UNP 10-K, period ending 2014-12-31","Our fuel surcharge programs generated freight revenues of $2.8 billion, $2.6 billion, and $2.6 billion in 2014, 2013, and 2012"
Rail,Union Pacific,UNP,2015,1300.0,20397.0,6.37,"UNP freight revenues (""commodity revenue"" through 2007 10-K), excl. other revenues",stated_dollars,"UNP 10-K, period ending 2015-12-31","Our fuel surcharge programs generated freight revenues of $ 1.3 billion, $2.8 billion, and $2.6 billion in 2015, 2014, and 2013"
Rail,Union Pacific,UNP,2016,560.0,18601.0,3.01,"UNP freight revenues (""commodity revenue"" through 2007 10-K), excl. other revenues",stated_dollars,"UNP 10-K, period ending 2016-12-31",Our fuel surcharge programs generated freight revenues of $560 million
Rail,Union Pacific,UNP,2017,966.0,19837.0,4.87,"UNP freight revenues (""commodity revenue"" through 2007 10-K), excl. other revenues",stated_dollars,"UNP 10-K, period ending 2017-12-31","ncludes fuel surcharge revenue of $966 million, $560 million"
Rail,Union Pacific,UNP,2018,1700.0,21384.0,7.95,"UNP freight revenues (""commodity revenue"" through 2007 10-K), excl. other revenues",stated_dollars,"UNP 10-K, period ending 2018-12-31","Our fuel surcharge programs generated freight revenues of $1.7 billion, $966 million, and $560 million in 2018, 2017, and 2016"
Rail,Union Pacific,UNP,2019,1600.0,20243.0,7.9,"UNP freight revenues (""commodity revenue"" through 2007 10-K), excl. other revenues",stated_dollars,"UNP 10-K, period ending 2019-12-31",Our fuel surcharge programs generated freight revenues of $1.6 billion and $1.7 billion in 2019 and 2018
Rail,Union Pacific,UNP,2020,967.0,18251.0,5.3,"UNP freight revenues (""commodity revenue"" through 2007 10-K), excl. other revenues",stated_dollars,"UNP 10-K, period ending 2020-12-31","Includes fuel surcharge revenue of $967 million, $1.6 billion"
Rail,Union Pacific,UNP,2021,1700.0,20244.0,8.4,"UNP freight revenues (""commodity revenue"" through 2007 10-K), excl. other revenues",stated_dollars,"UNP 10-K, period ending 2021-12-31",Our fuel surcharge programs generated freight revenues of $1.7 billion and $1.0 billion in 2021 and 2020
Rail,Union Pacific,UNP,2022,3700.0,23159.0,15.98,"UNP freight revenues (""commodity revenue"" through 2007 10-K), excl. other revenues",stated_dollars,"UNP 10-K, period ending 2022-12-31",Our fuel surcharge programs generated freight revenues of $3.7 billion and $1.7 billion in 2022 and 2021
Rail,Union Pacific,UNP,2023,3000.0,22571.0,13.29,"UNP freight revenues (""commodity revenue"" through 2007 10-K), excl. other revenues",stated_dollars,"UNP 10-K, period ending 2023-12-31",Our fuel surcharge programs generated freight revenues of $3.0 billion and $3.7 billion in 2023 and 2022
Rail,Union Pacific,UNP,2024,2600.0,22811.0,11.4,"UNP freight revenues (""commodity revenue"" through 2007 10-K), excl. other revenues",stated_dollars,"UNP 10-K, period ending 2024-12-31",Our fuel surcharge programs generated freight revenues of $2.6 billion and $3.0 billion in 2024 and 2023
